2264,90,480,840,480,840,480,840,480,840,480,840,None,None,None,None,None,None,
2374,31,480,840,480,840,480,840,480,840,480,840,None,None,None,None,None,None,
2445,28,420,780,420,780,420,780,420,780,420,780,None,None,None,None,None,None,
2457,31,480,840,480,840,480,840,480,840,480,840,None,None,None,None,None,None,
2459,32,480,840,480,840,480,840,480,840,480,840,None,None,None,None,None,None,
2476,25,480,840,480,840,480,840,480,840,480,840,None,None,None,None,None,None,
2503,32,660,1020,660,1020,660,1020,660,1020,660,1020,None,None,None,None,None,None,
2508,32,480,840,480,840,480,840,480,840,480,840,None,None,None,None,None,None,
2532,20,720,1080,720,1080,720,1080,720,1080,720,1080,None,None,None,None,None,None,
2573,32,540,900,540,900,540,900,540,900,540,900,None,None,None,None,None,None,
2597,32,360,720,360,720,360,720,360,720,360,720,None,None,None,None,None,None,
2619,32,480,840,480,840,480,840,480,840,480,840,None,None,None,None,None,None,
2627,41,540,900,540,900,540,900,540,900,540,900,None,None,None,None,None,None,
2643,36,480,840,480,840,480,840,480,840,480,840,None,None,None,None,None,None,
2658,84,480,840,480,840,480,840,480,840,480,840,None,None,None,None,None,None,
2660,32,480,840,480,840,480,840,480,840,480,840,None,None,None,None,None,None,
2661,31,480,840,480,840,480,840,480,840,480,840,None,None,None,None,None,None,
2675,68,420,780,420,780,420,780,420,780,420,780,None,None,None,None,None,None,
2676,32,480,840,480,840,480,840,480,840,480,840,None,None,None,None,None,None,
2677,29,420,780,420,780,420,780,420,780,420,780,None,None,None,None,None,None,
2677,61,420,780,420,780,420,780,420,780,420,780,None,None,None,None,None,None,
2685,31,480,840,480,840,480,840,480,840,480,840,None,None,None,None,None,None,
2687,28,420,780,420,780,420,780,420,780,420,780,None,None,None,None,None,None,
2704,32,480,840,480,840,480,840,480,840,480,840,None,None,None,None,None,None,
2716,28,420,780,420,780,420,780,420,780,420,780,None,None,None,None,None,None,
2729,32,420,780,420,780,420,780,420,780,420,780,None,None,None,None,None,None,
2735,32,480,840,480,840,480,840,480,840,480,840,None,None,None,None,None,None,
2746,28,420,780,420,780,420,780,420,780,420,780,None,None,None,None,None,None,
2754,31,480,840,480,840,480,840,480,840,480,840,None,None,None,None,None,None,
2761,32,420,780,420,780,420,780,420,780,420,780,None,None,None,None,None,None,
2766,45,480,840,480,840,480,840,480,840,480,840,None,None,None,None,None,None,
2768,32,480,840,480,840,480,840,480,840,480,840,None,None,None,None,None,None,
2785,16,480,840,480,840,480,840,480,840,480,840,None,None,None,None,None,None,
2799,32,480,840,480,840,480,840,480,840,480,840,None,None,None,None,None,None,
2813,32,480,840,480,840,480,840,480,840,480,840,None,None,None,None,None,None,
2817,36,480,840,480,840,480,840,480,840,480,840,None,None,None,None,None,None,
2840,27,720,1080,720,1080,720,1080,720,1080,720,1080,None,None,None,None,None,None,
2841,32,360,720,360,720,360,720,360,720,360,720,None,None,None,None,None,None,
2847,32,480,840,480,840,480,840,480,840,480,840,None,None,None,None,None,None,
2859,32,480,840,480,840,480,840,480,840,480,840,None,None,None,None,None,None,
2870,28,420,780,420,780,420,780,420,780,420,780,None,None,None,None,None,None,
2874,28,420,780,420,780,420,780,420,780,420,780,None,None,None,None,None,None,
2886,32,480,840,480,840,480,840,480,840,480,840,None,None,None,None,None,None,
2888,32,480,840,480,840,480,840,480,840,480,840,None,None,None,None,None,None,
2896,32,480,840,480,840,480,840,480,840,480,840,None,None,None,None,None,None,
2911,36,840,1200,840,1200,840,1200,840,1200,840,1200,None,None,None,None,None,None,
2915,25,840,1200,840,1200,840,1200,840,1200,840,1200,None,None,None,None,None,None,
2923,32,480,840,480,840,480,840,480,840,480,840,None,None,None,None,None,None,
2927,43,480,840,480,840,480,840,480,840,480,840,None,None,None,None,None,None,
2950,32,480,840,480,840,480,840,480,840,480,840,None,None,None,None,None,None,
2951,32,480,840,480,840,480,840,480,840,480,840,None,None,None,None,None,None,
2958,36,480,840,480,840,480,840,480,840,480,840,None,None,None,None,None,None,
2989,32,360,720,360,720,360,720,360,720,360,720,None,None,None,None,None,None,
2993,32,480,840,480,840,480,840,480,840,480,840,None,None,None,None,None,None,
2994,32,480,840,480,840,480,840,480,840,480,840,None,None,None,None,None,None,
3021,32,480,840,480,840,480,840,480,840,480,840,None,None,None,None,None,None,
3024,41,480,840,480,840,480,840,480,840,480,840,None,None,None,None,None,None,
3028,44,480,840,480,840,480,840,480,840,480,840,None,None,None,None,None,None,
3028,19,480,840,480,840,480,840,480,840,480,840,None,None,None,None,None,None,
3028,59,840,1200,840,1200,840,1200,840,1200,840,1200,None,None,None,None,None,None,
3055,32,480,840,480,840,480,840,480,840,480,840,None,None,None,None,None,None,
3081,31,540,900,540,900,540,900,540,900,540,900,None,None,None,None,None,None,
3104,32,480,840,480,840,480,840,480,840,480,840,None,None,None,None,None,None,
3106,34,480,840,480,840,480,840,480,840,480,840,None,None,None,None,None,None,
3108,42,480,840,600,960,600,960,480,840,480,840,None,None,None,None,None,None,
3109,28,420,780,420,780,420,780,420,780,420,780,None,None,None,None,None,None,
3110,32,480,840,480,840,480,840,480,840,480,840,None,None,None,None,None,None,
3111,32,480,840,480,840,480,840,480,840,480,840,None,None,None,None,None,None,
3117,31,420,780,420,780,420,780,420,780,420,780,None,None,None,None,None,None,
3121,52,480,840,480,840,480,840,480,840,480,840,None,None,None,None,None,None,
3122,78,600,960,600,960,600,960,600,960,600,960,None,None,None,None,None,None,
3128,32,480,840,480,840,480,840,480,840,480,840,None,None,None,None,None,None,
